CustomerID,LookalikeID,SimilarityScore
C0001,C0191,0.9894649018314858
C0001,C0190,0.9894612517721328
C0001,C0056,0.9880415133063116
C0002,C0031,0.9978770092059391
C0002,C0083,0.987116191714164
C0002,C0029,0.9854169519786067
C0003,C0112,0.9991513254423462
C0003,C0097,0.9988087829994909
C0003,C0144,0.9984074107889578
C0004,C0136,0.9944101450287539
C0004,C0068,0.9937063243351975
C0004,C0122,0.9908922477346499
C0005,C0123,0.9997564899881507
C0005,C0036,0.998829496400891
C0005,C0078,0.9946241614692721
C0006,C0168,0.905071589190233
C0006,C0026,0.8734535832898441
C0006,C0066,0.8633221455257657
C0007,C0120,0.9922890580803778
C0007,C0150,0.9823532999658844
C0007,C0130,0.9789005041549623
C0008,C0084,0.9835181119034528
C0008,C0194,0.9817131185217989
C0008,C0017,0.9792672001380918
C0009,C0077,0.9871043495297648
C0009,C0027,0.9857135200449356
C0009,C0166,0.9845631692148217
C0010,C0083,0.993840145531298
C0010,C0032,0.9901810076490973
C0010,C0031,0.9885359917613021
C0011,C0048,0.9895890131605448
C0011,C0137,0.9770122266779421
C0011,C0064,0.9673349095582188
C0012,C0101,0.9800647822854652
C0012,C0143,0.9785805255618694
C0012,C0126,0.9784296038205937
C0013,C0141,0.9974670488605097
C0013,C0059,0.9954321732115321
C0013,C0104,0.9949725198374763
C0014,C0058,0.9996773199406215
C0014,C0020,0.9982573923709861
C0014,C0144,0.9968958109046795
C0015,C0060,0.9983870426069118
C0015,C0063,0.9982468287279309
C0015,C0095,0.9979590745190883
C0016,C0183,0.9975661199393873
C0016,C0064,0.9897784103283458
C0016,C0200,0.9797043473431497
C0017,C0162,0.9955256026881872
C0017,C0075,0.9927046878243037
C0017,C0004,0.9862342373415605
C0018,C0149,0.9984290637354937
C0018,C0182,0.9663393575508151
C0018,C0170,0.9045515737805416
C0019,C0172,0.9875355441927388
C0019,C0116,0.9606463236146926
C0019,C0034,0.8756289475152897
C0020,C0110,0.9988133652669647
C0020,C0014,0.9982573923709861
C0020,C0058,0.9981946864369928
